objectid,objectnumber
1104,ROC10373
1105,ROC10378
1106,ROC10450
1107,ROC10460
1108,IT-16
1109,10733.conflict1
1110,ROC11200
1111,ROC11224
1112,ROC11266
1113,ROC11271
1114,ROC11293
1115,ROC11336
1116,ROC11340
1117,ROC11356
1118,ROC11368
1119,ROC10764
1120,MCC-2
1121,ROC10116
1122,ROC10155
1123,ROC10168
1124,ROC10175
1125,ROC10185
1126,ROC10211
1127,ROC10217
1128,ROC10258
1129,ROC10270
1130,ROC10347
1131,ROC10349
1132,ROC10361
1133,ROC10411
1134,ROC10826
1135,ROC10973
1136,ROC10974
1137,ROC11162
1138,ROC11179
1139,ROC11191
1140,ROC11199
1141,ROC11223
1142,ROC11233
1143,Tri 415
1144,ROC10226
1145,ROC10802
1146,ROC11341
1147,ROC10636
1148,ROC10657
1149,11551.conflict2
1150,16341.conflict2
1151,16605.conflict2
1152,ROC10743
1153,ROC11002
1154,ROC11105
1155,ROC11106
1156,ROC10190
1157,ROC10098
1158,ROC10121
1159,5059.conflict2
1160,GSC-2711
1161,GSC-1855
1162,GSC-1778
1163,ROC10936
1164,GSC-1358
1165,GSC-468
1166,GSC-1169
1167,ROC17710
1168,ROC16234
1169,ROC17049
1170,SED- 69
1171,ROC10232
1172,GSC-1351
1173,ROC10127
1174,GSC-2097
1175,SED- 1132
1176,SED- 1175
1177,ROC10129
1178,ROC10151
1179,ROC10169
1180,SED- 1874
1181,GSC-2669
1182,SED- 2261
1183,GSC-628
1184,GSC-484
1185,GSC-658
1186,GSC-2286
1187,GSC-1557
1188,GSC-470
1189,GSC-2676
1190,GSC-527
1191,GSC-494
1192,ROC10174
1193,ROC10214
1194,SH 5
1195,SH L-1c
1196,SH 42.conflict2
1197,Aj 1016
1198,ROC11187
1199,ROC10221
1200,ROC10222
1201,Wards- 57
1202,GSC-455
1203,GSC-1326
1204,GSC-2484
1205,GSC-2272
1206,GSC-2247
1207,GSC-556
1208,GSC-2179
1209,GSC-2188
1210,GSC-1589
1211,GSC-948
1212,GSC-998
1213,GSC-2067
1214,GSC-1867
1215,GSC-61
1216,GSC-920
1217,GSC-2106
1218,GSC-405
1219,GSC-851
1220,GSC-1285
1221,GSC-85
1222,GSC-1217
1223,GSC-1818
1224,GSC-1380
1225,GSC-2542
1226,GSC-1081
1227,ROC10265
1228,GSC-1523
1229,GSC-2568
1230,GSC-2740
1231,GSC-938
1232,GSC-2023
1233,GSC-606
1234,GSC-764
1235,GSC-769
1236,GSC-773
1237,ROC10404
1238,ROC10407
1239,ROC10478
1240,ROC10516
1241,ROC10519
1242,ROC10520
1243,ROC10521
1244,ROC10723
1245,ROC10277
1246,ROC10279
1247,ROC10287
1248,ROC10343
1249,ROC10384
1250,ROC10408
1251,ROC10421
1252,ROC10567
1253,ROC10588
1254,ROC10761
1255,ROC10794
1256,ROC10815
1257,ROC10816
1258,ROC10823
1259,ROC10834
1260,ROC10849
1261,ROC10853
1262,ROC10896
1263,ROC10964
1264,ROC10966
1265,ROC11114
1266,ROC11145
1267,ROC11189
1268,ROC11256
1269,ROC11262
1270,ROC11310
1271,GSC-306
1272,ROC10629
1273,ROC10637
1274,ROC10643
1275,ROC10740
1276,Wards- 47
1277,Jn-5
1278,BM-1025
1279,BM-1039
1280,BM-1051
1281,BM-1082
1282,BM-1054
1283,BM-1063
1284,BM-1080
1285,Bu 1759
1286,Bu 1760
1287,Bu 1766
1288,Bu 1839
1289,Bu 1434
1290,Bu 1442
1291,Bu 1463
1292,Bu 1724
1293,SEM 3
1294,ROC11230
1295,M666
1296,M479
1297,M477A
1298,M330I
1299,M695A
1300,M618
1301,M680A
1302,M680B
1303,M635
1304,M616
1305,M708B
1306,M551A
1307,M580
1308,M179A
1309,M73A
1310,M482
1311,M443
1312,M699A
1313,M1015
1314,M1147
1315,T84
1316,CUA-105
1317,CUA-11
1318,CUA-117
1319,CUA-16
1320,CUA-18
1321,CUA-23
1322,M681A
1323,M622D
1324,M440R.2
1325,M440S.2
1326,M440W.2
1327,M440W.3
1328,M621C
1329,M524F
1330,M341B
1331,M3A
1332,M3B
1333,M51A
1334,M437
1335,M334D
1336,M282A
1337,M335
1338,M198A
1339,M198B
1340,M198C
1341,M1076
1342,M292A
1343,M292B
1344,M292C
1345,M95A
1346,M330A
1347,M330H
1348,M1236
1349,M438M
1350,M347B
1351,M410
1352,M510
1353,M468Z
1354,M468R
1355,M468S
1356,M1228
1357,M.Uncat28
1358,M204B
1359,M1229
1360,M1230
1361,M1211
1362,M1040
1363,M1057
1364,Bu 1810
1365,M452B
1366,M713B
1367,M440S.4
1368,M440T.2
1369,M440V.1
1370,M224
1371,M440V.2
1372,M440W.1
1373,M273A
1374,M440W.4
1375,M440X.1
1376,CAS-5086
1377,11583.conflict2
1378,GSC-2612
1379,ROC11244
1380,M440X.2
1381,GSC-2209
1382,GSC-1382
1383,GSC-2796
1384,M425A.2
1385,M440K
1386,M440C
1387,M440H
1388,M440M.1
1389,GSC-1283
1390,M440R.1
1391,M461A
1392,M436
1393,M227E
1394,M2C
1395,GSC-2685
1396,GSC-617
1397,M226E
1398,M225A
1399,M227A
1400,M569
1401,M303
1402,M213
1403,10843.conflict1
1404,M216
1405,GSC-2410
1406,M210B
1407,M214A
1408,M279D
1409,M214C
1410,M203A
1411,M172A
1412,M172B
1413,M141E
1414,M178A
1415,M175
1416,M147A
1417,M147B
1418,M147D
1419,M147G
1420,M147H
1421,M147I
1422,M147J
1423,M144E
1424,M144F
1425,M144G
1426,M144H
1427,C.d.A. 1175
1428,C.d.A. 1063
1429,C.d.A. 1275
1430,M144K
1431,M144C
1432,M146A
1433,M146B
1434,M719
1435,M693A
1436,M148C
1437,M141A
1438,M141B
1439,M141C
1440,M407B
1441,M143E
1442,M143F
1443,M143G.1
1444,M143G.2
1445,M143G.3
1446,M143H
1447,M143I
1448,M143K.1
1449,M143K.2
1450,M143R
1451,M143S
1452,M132.19C
1453,M132.24
1454,M132.25
1455,M132.30A
1456,M143M
1457,M143N
1458,M143O
1459,M132.32C
1460,M132.33
1461,M132.34
1462,M132.4
1463,M132.7
1464,M143A
1465,M143B
1466,M476
1467,M109
1469,M1050
1470,M1051
1471,M667B
1472,M667D
1473,M667E
1474,M512A
1475,M1214
1476,M77C
1477,M720A
1478,M59B
1479,M416A
1480,M416B
1481,M245A
1482,M245B
1483,M267B
1484,M377B
1485,M377D
1486,M376D
1487,M167
1488,M679A
1489,M679B
1490,M377C
1491,M377E
1492,M125
1493,M207C
1494,M670A
1495,M670B
1496,M670C
1497,M249A
1498,M293A
1499,M293B
1500,M293C
1501,M159A
1502,M159C
1503,M159D
1504,M606
1505,M1092
1506,M1093
1507,M1077
1508,M297
1509,M1133
1510,M455A
1511,M455B
1512,M283
1513,M81A
1514,M1074
1515,Bu 2273
1516,M495
1517,M501A
1518,M468D
1519,M468G
1520,M468H
1521,M468J
1522,M468M
1523,M468P
1524,M468Q
1525,M468Y
1526,M468W
1527,M180A
1528,M180B
1529,M180F
1530,M470A
1531,M470B
1532,M470C
1533,M86
1534,M480A
1535,M480B
1536,M1044
1537,M1059A
1538,M307H
1539,M422
1540,M1073
1541,ROC10851
1542,M543
1543,M596
1544,M262C
1545,M322A
1546,M545C
1547,M431A
1548,M442
1549,M414A
1550,M414C
1551,M414E
1552,M160
1553,M597
1554,M402
1555,M456B
1556,M456D
1557,M456E
1558,M425F
1559,M42
1560,M659
1561,M191
1562,M1033
1563,CQ-410
1564,CQ-808
1565,M418E
1566,M425C
1567,M425H
1568,M425L
1569,M427
1570,M530
